,City,Average price,Increase,Population,Latitude,Longitude
0,Maastricht,213000,7,122378,50.84833,5.68889
1,Groningen,237000,8,181194,53.21917,6.56667
2,Almere,271000,10,176432,52.37025,5.21413
3,Rotterdam,271000,17,598199,51.9225,4.47917
4,Breda,297000,7,167673,51.58656,4.77596
5,Eindhoven,300000,8,209620,51.44083,5.47778
6,The Hague,309000,10,474292,52.07667,4.29861
7,Utrecht,346000,13,290529,52.09083,5.12222
8,Leiden,348000,7,119713,52.15833,4.49306
9,Amsterdam,448000,8,741636,52.37403,4.88969
