"asciiname","population","location"
"Amsterdam",741636,"https://www.google.com/maps/?q=52.37403,4.88969"
"Rotterdam",598199,"https://www.google.com/maps/?q=51.9225,4.47917"
"The Hague",474292,"https://www.google.com/maps/?q=52.07667,4.29861"
"Utrecht",290529,"https://www.google.com/maps/?q=52.09083,5.12222"
"Eindhoven",209620,"https://www.google.com/maps/?q=51.44083,5.47778"
"Tilburg",199613,"https://www.google.com/maps/?q=51.55551,5.0913"
"Groningen",181194,"https://www.google.com/maps/?q=53.21917,6.56667"
"Almere",176432,"https://www.google.com/maps/?q=52.37025,5.21413"
"Breda",167673,"https://www.google.com/maps/?q=51.58656,4.77596"
"Nijmegen",158732,"https://www.google.com/maps/?q=51.8425,5.85278"
"Enschede",153655,"https://www.google.com/maps/?q=52.21833,6.89583"
"Haarlem",147590,"https://www.google.com/maps/?q=52.38084,4.63683"
"Arnhem",141674,"https://www.google.com/maps/?q=51.98,5.91111"
"Zaanstad",140085,"https://www.google.com/maps/?q=52.45313,4.81356"
"Amersfoort",139914,"https://www.google.com/maps/?q=52.155,5.3875"
"Apeldoorn",136670,"https://www.google.com/maps/?q=52.21,5.96944"
"'s-Hertogenbosch",134520,"https://www.google.com/maps/?q=51.69917,5.30417"
"Hoofddorp",132734,"https://www.google.com/maps/?q=52.3025,4.68889"
"Maastricht",122378,"https://www.google.com/maps/?q=50.84833,5.68889"
"Leiden",119713,"https://www.google.com/maps/?q=52.15833,4.49306"
"Dordrecht",119260,"https://www.google.com/maps/?q=51.81,4.67361"
"Zoetermeer",115845,"https://www.google.com/maps/?q=52.0575,4.49306"
"Zwolle",111805,"https://www.google.com/maps/?q=52.5125,6.09444"
"Deventer",97331,"https://www.google.com/maps/?q=52.255,6.16389"
"Delft",95060,"https://www.google.com/maps/?q=52.00667,4.35556"
"Alkmaar",94853,"https://www.google.com/maps/?q=52.63167,4.74861"
"Heerlen",93084,"https://www.google.com/maps/?q=50.88365,5.98154"
"Venlo",92403,"https://www.google.com/maps/?q=51.37,6.16806"
"Leeuwarden",91424,"https://www.google.com/maps/?q=53.20139,5.80859"
"Amsterdam-Zuidoost",84811,"https://www.google.com/maps/?q=52.3075,4.97222"
"Hilversum",83640,"https://www.google.com/maps/?q=52.22333,5.17639"
"Hengelo",80809,"https://www.google.com/maps/?q=52.26583,6.79306"
"Amstelveen",79639,"https://www.google.com/maps/?q=52.30083,4.86389"
"Roosendaal",77725,"https://www.google.com/maps/?q=51.53083,4.46528"
"Purmerend",76745,"https://www.google.com/maps/?q=52.505,4.95972"
"Oss",76430,"https://www.google.com/maps/?q=51.765,5.51806"
"Schiedam",75438,"https://www.google.com/maps/?q=51.91917,4.38889"
"Spijkenisse",74988,"https://www.google.com/maps/?q=51.845,4.32917"
"Helmond",74740,"https://www.google.com/maps/?q=51.48167,5.66111"
"Vlaardingen",73798,"https://www.google.com/maps/?q=51.9125,4.34167"
"Almelo",72725,"https://www.google.com/maps/?q=52.35667,6.6625"
"Gouda",71952,"https://www.google.com/maps/?q=52.01667,4.70833"
"Zaandam",71708,"https://www.google.com/maps/?q=52.43854,4.82643"
"Lelystad",70741,"https://www.google.com/maps/?q=52.50833,5.475"
"Alphen aan den Rijn",70251,"https://www.google.com/maps/?q=52.12917,4.65546"
"Hoorn",68852,"https://www.google.com/maps/?q=52.6425,5.05972"
"Velsen-Zuid",67758,"https://www.google.com/maps/?q=52.46,4.65"
"Ede",67670,"https://www.google.com/maps/?q=52.03333,5.65833"
"Bergen op Zoom",66256,"https://www.google.com/maps/?q=51.495,4.29167"
"Capelle aan den IJssel",65255,"https://www.google.com/maps/?q=51.92917,4.57778"
"Assen",62237,"https://www.google.com/maps/?q=52.99667,6.5625"
"Nieuwegein",61489,"https://www.google.com/maps/?q=52.02917,5.08056"
"Veenendaal",61271,"https://www.google.com/maps/?q=52.02863,5.55891"
"Zeist",60949,"https://www.google.com/maps/?q=52.09,5.23333"
"Den Helder",59569,"https://www.google.com/maps/?q=52.95988,4.75933"
"Hardenberg",57909,"https://www.google.com/maps/?q=52.57583,6.61944"
"Emmen",57010,"https://www.google.com/maps/?q=52.77917,6.90694"
"Oosterhout",53107,"https://www.google.com/maps/?q=51.645,4.85972"
"Doetinchem",49906,"https://www.google.com/maps/?q=51.965,6.28889"
"Kerkrade",49777,"https://www.google.com/maps/?q=50.86583,6.0625"
"Kampen",48980,"https://www.google.com/maps/?q=52.555,5.91111"
"Weert",48662,"https://www.google.com/maps/?q=51.25167,5.70694"
"Woerden",48431,"https://www.google.com/maps/?q=52.085,4.88333"
"Sittard",48400,"https://www.google.com/maps/?q=50.99833,5.86944"
"Heerhugowaard",47580,"https://www.google.com/maps/?q=52.67144,4.84862"
"Rijswijk",47299,"https://www.google.com/maps/?q=52.03634,4.32501"
"Middelburg",46485,"https://www.google.com/maps/?q=51.5,3.61389"
"Emmeloord",46409,"https://www.google.com/maps/?q=52.71083,5.74861"
"Zwijndrecht",45696,"https://www.google.com/maps/?q=51.8175,4.63333"
"Waalwijk",45610,"https://www.google.com/maps/?q=51.6825,5.07083"
"Huizen",45292,"https://www.google.com/maps/?q=52.29917,5.24167"
"Vlissingen",45273,"https://www.google.com/maps/?q=51.4425,3.57361"
"Ridderkerk",45189,"https://www.google.com/maps/?q=51.8725,4.60278"
"Soest",45021,"https://www.google.com/maps/?q=52.17333,5.29167"
"Roermond",44975,"https://www.google.com/maps/?q=51.19417,5.9875"
"Drachten",44537,"https://www.google.com/maps/?q=53.11254,6.0989"
"Heerenveen",43094,"https://www.google.com/maps/?q=52.95929,5.91854"
"Medemblik",41500,"https://www.google.com/maps/?q=52.77167,5.10556"
"Tiel",40702,"https://www.google.com/maps/?q=51.88667,5.42917"
"Harderwijk",40516,"https://www.google.com/maps/?q=52.34167,5.62083"
"Maarssen",39675,"https://www.google.com/maps/?q=52.13917,5.04167"
"Venray",39047,"https://www.google.com/maps/?q=51.525,5.975"
"Hoogeveen",38754,"https://www.google.com/maps/?q=52.7225,6.47639"
"Barendrecht",38672,"https://www.google.com/maps/?q=51.85667,4.53472"
"Nijkerk",38335,"https://www.google.com/maps/?q=52.22,5.48611"
"Voorburg",38000,"https://www.google.com/maps/?q=52.07417,4.35972"
"Beverwijk",37585,"https://www.google.com/maps/?q=52.48333,4.65694"
"Goes",36931,"https://www.google.com/maps/?q=51.50417,3.88889"
"Zutphen",36188,"https://www.google.com/maps/?q=52.13833,6.20139"
"Heemskerk",36170,"https://www.google.com/maps/?q=52.51108,4.67165"
"Wageningen",35433,"https://www.google.com/maps/?q=51.97,5.66667"
"Castricum",35256,"https://www.google.com/maps/?q=52.54833,4.66944"
"Gorinchem",34736,"https://www.google.com/maps/?q=51.83652,4.97243"
"Uden",34601,"https://www.google.com/maps/?q=51.66083,5.61944"
"IJsselstein",33886,"https://www.google.com/maps/?q=52.02,5.04306"
"Epe",33385,"https://www.google.com/maps/?q=52.3475,5.98333"
"Sneek",32811,"https://www.google.com/maps/?q=53.03297,5.6589"
"Geleen",32790,"https://www.google.com/maps/?q=50.97417,5.82917"
"Maassluis",32780,"https://www.google.com/maps/?q=51.92333,4.25"
"Wijchen",32693,"https://www.google.com/maps/?q=51.80917,5.725"
